LION.ID,State,County,City,Organization,Website,Type,LION OutletsCounty
125,IA,Johnson County,Iowa City,Iowa Watch,iowawatch.org,Online News Organization,Johnson
126,IA,Clay County,Spencer,Lakes Business News,lakesbusinessnews.com,Online News Organization,Clay
127,IA,Dallas County,Perry,The Perry News,theperrynews.com,Online News Organization,Dallas
128,ID,Bonneville County,Idaho Falls,East Idaho News,eastidahonews.com,Online News Organization,Bonneville
129,ID,Ada County,Boise,Boise Guardian,boiseguardian.com,Online News Organization,Ada
130,ID,Ada County,Boise,Boise Dev,boisedev.com,Online News Organization,Ada
131,IL,Lake County,Highwood,Daily North Shore,dailynorthshore.com,Online News Organization,Lake
132,IL,Cook County,Evanston,Evanston Now,evanstonnow.com,Online News Organization,Cook
133,IL,Cook County,Chicago,City Bureau,citybureau.org,Online News Organization,Cook
134,IL,Cook County,Elmhurst,Elmhurst Titan,elmhurst-titan.com,Online News Organization,Cook
135,IL,Cook County,Chicago,Urban Broadcast Media,http://urbanbroadcastmedia.com/,Online News Organization,Cook
136,IL,Cook County,Park Forest,eNews Park Forest,enewspf.com,Online News Organization,Cook
137,IL,Cook County,Chicago,DePriest Voters,depriestvoters.net,Online News Organization,Cook
138,IL,Cook County,Chicago,Logan Squarist,logansquarist.com,Online News Organization,Cook
139,IL,Cook County,Homewood,Homewood-Flossmoor Chronicle,hfchronicle.com,Online News Organization,Cook
140,IL,Cook County,Maywood,Village Free Press,thevillagefreepress.org,Online News Organization,Cook
141,IL,Cook County,Chicago,The Daily Line,thedailyline.net,Online News Organization,Cook
142,IL,Cook County,Chicago,Block Club Chicago,http://news.joincivil.com/block-club-chicago/,Online News Organization,Cook
143,IL,Cook County,Chicago,Happenstance,happenstanceapp.com,Online News Organization,Cook
144,IL,Cook County,Chicago,Chicago Reporter,http://chicagoreporter.com/,Online News Organization,Cook
145,IL,Cook County,Chicago,Austin Talks,austintalks.org,Online News Organization,Cook
146,IL,Lake County,Wadsworth,The You Journal,theyoujournal.com,Online News Organization,Lake
147,IL,Woodford County,Metamora,Metamora Herald,metamoraherald.com,Online News Organization,Woodford
148,IL,Madison County,Alton,Riverbender,riverbender.com,Online News Organization,Madison
149,IL,Champaign County,Champaign,Investigate Midwest,investigatemidwest.org,Online News Organization,Champaign
150,IL,Cook County,Edgewater,Edgeville Buzz,edgevillebuzz.com,Online News Organization,Cook
151,IL,Cook County,Chicago,Logan Squarist,logansquarist.com,Online News Organization,Cook
152,IN,Marion County,Indianapolis,Indy Politics,indypolitics.org,Online News Organization,Marion
153,IN,Bartholomew County,Hope,HSJ Online,hsjonline.org,Online News Organization,Bartholomew
154,IN,Marion County,Indianapolis,NUVO,nuvo.com,Online News Organization,Marion
155,IN,Dubois County,Huntingburg,Dubois County Free Press,duboiscountyfreepress.com,Online News Organization,Dubois
156,IN,Delaware County,Muncie,Muncie Voice,muncievoice.com,Online News Organization,Delaware
157,KS,Johnson County,Shawnee,Shawnee Mission Post,shawneemissionpost.com,Online News Organization,Johnson
158,KY,Jefferson County,Louisville,Kentucky Center for Investigative Reporting,kycir.org,Online News Organization,Jefferson
