state,newspaper_id,newspaper_name,frequency,city,county,owner_id,owner_name,owner_type,total_circulation
AR,17402,Murfreesboro Diamond,W,Murfreesboro,Pike,2668,Graves Publishing Company,Private,1700
AR,17324,Montgomery County News,W,Mount Ida,Montgomery,2668,Graves Publishing Company,Private,1895
AR,17204,Mena Star,W,Mena,Polk,3424,Lancaster Management,Private,30700
AR,17178,McGehee Dermott Times/News,W,McGehee,Desha,6057,"McGehee Publishing Company, Inc.",Private,3400
AR,17153,Marshall Mountain Wave,W,Marshall,Searcy,3142,Jade Media Inc,Private,3200
AR,17032,Little River News,W,Ashdown,Little River,4617,Red River Media,Private,3000
AR,17014,Lincoln Ledger,W,Star City,Lincoln,3734,Mason Joe,Private,3500
AR,16778,Johnson County Graphic,W,Clarksville,Johnson,3215,"Johnson County Graphic, Inc, (The)",Private,7650
AR,16640,Hot Springs Village Voice,W,Hot Springs Village,Saline,2464,New Media/GateHouse,Investment,7732
AR,16439,Greenwood Democrat,W,Greenwood,Sebastian,2464,New Media/GateHouse,Investment,2280
AR,16383,Grand Prairie Herald,W,Hazen,Prairie,2925,Herald Publishing Co.,Private,1700
AR,16360,Glenwood Herald,W,Glenwood,Pike,2668,Graves Publishing Company,Private,2439
AR,16195,Fordyce News-Advocate,W,Fordyce,Dallas,5801,Whitehead William,Private,3091
AR,16111,Eudora Enterprise,W,Lake Village,Chicot,3424,Lancaster Management,Private,1250
AR,16093,England Democrat,W,England,Lonoke,3131,Jackson Jerry,Private,1800
AR,16024,Pacesetting Times,W,Horseshoe Bend,Izard,4966,Sherrell Karen,Private,2400
AR,15957,Dumas Clarion,W,Dumas,Desha,2296,Emmerich Enterprises,Private,3100
AR,15861,Westside Eagle Observer,W,Siloam Springs,Benton,5735,Wehco Media,Private,0
AR,15852,De Witt Era-Enterprise,W,De Witt,Arkansas,3526,Lewis County Press,Private,2716
AR,15851,DeQueen Bee,W,De Queen,Sevier,3424,Lancaster Management,Private,3100
AR,15831,Dardanelle Post-Dispatch,W,Dardanelle,Yell,4356,Paxton Media Group,Private,2044
AR,15719,Conway County Petit Jean Country Headlight,W,Morrilton,Conway,2423,Fisher Publishing Company,Private,6200
AR,15640,Cleveland County Herald,W,Rison,Cleveland,5312,Talent Britt,Private,2230
AR,15623,Clay County Times-Democrat,W,Piggott,Clay,4797,Rust Communications,Private,1986
AR,15622,Clay County Courier,W,Corning,Clay,6056,Corning Publishing,Private,4060
AR,15565,Chicot Spectator,W,Lake Village,Chicot,3424,Lancaster Management,Private,1250
AR,15525,Charleston Express,W,Greenwood,Franklin,2464,New Media/GateHouse,Investment,2050
AR,15437,Carlisle Independent,W,Carlisle,Lonoke,2464,New Media/GateHouse,Investment,1063
AR,15371,Cabot Star-Herald,W,Cabot,Lonoke,2464,New Media/GateHouse,Investment,5461
AR,15298,Monroe County Herald,W,Brinkley,Monroe,6025,"Taylor, Hayden",Private,2438
AR,15242,Booneville Democrat,W,Booneville,Logan,2464,New Media/GateHouse,Investment,2912
AR,15039,Atkins Chronicle,W,Atkins,Pope,1162,Atkins Chronicle Inc,Private,2401
AR,15031,Ashley News Observer,W,Crossett,Ashley,3424,Lancaster Management,Private,4451
